Date,Close,High,Low,Volume
2022-01-03,30.121000289916992,30.711000442504883,29.78499984741211,391547000
2022-01-04,29.290000915527344,30.468000411987305,28.349000930786133,527154000
2022-01-05,27.604000091552734,29.416000366210938,27.533000946044922,498064000
2022-01-06,28.17799949645996,28.437999725341797,27.065000534057617,454186000
2022-01-07,27.246999740600586,28.422000885009766,27.05699920654297,409939000
2022-01-10,27.399999618530273,27.4689998626709,25.643999099731445,594681000
2022-01-11,27.816999435424805,28.065000534057617,26.839000701904297,404089000
2022-01-12,27.999000549316406,28.594999313354492,27.607999801635742,383413000
2022-01-13,26.575000762939453,28.479999542236328,26.49799919128418,540171000
2022-01-14,26.941999435424805,27.19700050354004,26.209999084472656,395832000
2022-01-18,25.902999877929688,26.63800048828125,25.770000457763672,424270000
2022-01-19,25.066999435424805,26.542999267578125,25.052000045776367,488315000
2022-01-20,24.149999618530273,25.57900047302246,24.077999114990234,435181000
2022-01-21,23.374000549316406,24.822999954223633,23.26300048828125,718958000
2022-01-24,23.371999740600586,23.3799991607666,20.88800048828125,913982000
2022-01-25,22.323999404907227,22.94300079345703,22.0,664616000
2022-01-26,22.77199935913086,24.05699920654297,22.299999237060547,755959000
2022-01-27,21.944000244140625,23.9950008392334,21.674999237060547,573353000
2022-01-28,22.84000015258789,22.857999801635742,21.29599952697754,543774000
2022-01-31,24.486000061035156,24.509000778198242,23.052000045776367,564680000
2022-02-01,24.63800048828125,25.145000457763672,23.889999389648438,518925000
2022-02-02,25.242000579833984,25.816999435424805,24.55299949645996,543419000
2022-02-03,23.947999954223633,25.07699966430664,23.780000686645508,410178000
2022-02-04,24.319000244140625,24.635000228881836,23.631999969482422,354829000
2022-02-07,24.72800064086914,25.18199920654297,24.20199966430664,376868000
2022-02-08,25.107999801635742,25.229999542236328,23.979999542236328,410359000
2022-02-09,26.704999923706055,26.725000381469727,25.35300064086914,524282000
2022-02-10,25.823999404907227,26.924999237060547,25.600000381469727,513200000
2022-02-11,23.948999404907227,26.152000427246094,23.773000717163086,605472000
2022-02-14,24.267000198364258,24.875,23.7549991607666,440424000
2022-02-15,26.4950008392334,26.545000076293945,24.784000396728516,699869000
2022-02-16,26.51099967956543,26.582000732421875,25.552000045776367,732676000
2022-02-17,24.506999969482422,25.78499984741211,24.165000915527344,810595000
2022-02-18,23.642000198364258,24.986000061035156,23.100000381469727,761255000
2022-02-22,23.389999389648438,24.06399917602539,23.0,633422000
2022-02-23,22.386999130249023,24.155000686645508,22.301000595092773,566511000
2022-02-24,23.74799919128418,23.799999237060547,20.889999389648438,735801000
2022-02-25,24.156999588012695,24.216999053955078,23.381000518798828,528866000
2022-02-28,24.385000228881836,24.665000915527344,23.707000732421875,477319000
